"id","email","profile_images","username","description","password","role","longitude","latitude","category","flag","created_at","updated_at"
"1","atharvamanjrekar@gmail.com",,"Atharva Manjrekar ",,"123456","user",,,,NULL,"0000-00-00","0000-00-00"
"2","food@gmail.com",,"Food Stall",,"123456","shopper","72.8291458","19.216245","1","1","0000-00-00","0000-00-00"
"3","momos@gmail.com",,"Momos",,"123456","shopper","19.1271551
","72.8348467
","1","1","0000-00-00","0000-00-00"
"4","cheesecake@gmail.com",,"Sara Cheesecakes",,"123456","shopper","19.1270346","72.8365619","1","1","0000-00-00","0000-00-00"
"5","clothing@gmail.com",,"XYZ Clothing ",,"123456","shopper","19.1202822","72.8379621","2","1","0000-00-00","0000-00-00"
"6","clothes@gmail.com",,"Cloth Store",,"123456","shopper","19.1235273","72.8431679","2","1","0000-00-00","0000-00-00"
"7","vegetables@gmail.com",,"Vegetable Stall",,"123456","shopper","19.1167897","72.8442311","3","1","0000-00-00","0000-00-00"
"8","veg@gmail.com",,"Vegies Cart",,"123456","shopper","19.1277615","72.8405989","3","1","0000-00-00","0000-00-00"
"9","fruits@gmail.com",,"Fruit Stall",,"12345y","shopper","19.1360609","72.8474973","3","1","0000-00-00","0000-00-00"
"10","shoes@gmail.com",,"Sam Footwear ",,"123456","shopper","19.1323324","72.8404796","4","1","0000-00-00","0000-00-00"
"11","footwear@gmail.com",,"Abc shoes",,"123456","shopper","19.1364353","72.8311663","4","1","0000-00-00","0000-00-00"
"12","boots@gmail.com",,"Boot Store ",,"123rt6","shopper","19.141623","72.8357596","4","1","0000-00-00","0000-00-00"
"13","acces@gmail.com",,"Mens Accessories ",,"123456","shopper","19.1151443","72.8298568","5","1","0000-00-00","0000-00-00"
"14","fashion@gmail.com",,"Fashion Freak",,"123456","shopper","19.1201738","72.8298729","5","1","0000-00-00","0000-00-00"
"15","makeup@gmail.com",,"Beauty Store ",,"123456","shopper","19.1295129","72.8219419","7","1","0000-00-00","0000-00-00"
"16","cosmetic@gmail.com",,"Abc Cosmetics",,"1w3r56","shopper","19.1300765","72.8185187","7","1","0000-00-00","0000-00-00"
"17","toy@gmail.com",,"Kids Store",,"123456","shopper","19.1198993","72.8481766","8","1","0000-00-00","0000-00-00"
"18","softoy@gmail.com",,"Soft Toys",,"1w34ty","shopper","19.132424","72.8476686","8","1","0000-00-00","0000-00-00"
"19","kids@gmail.com",,"Kids Zone",,"123456","shopper","19.1400687","72.8230802","8","1","0000-00-00","0000-00-00"
"20","grocery@gmail.com",,"The Grocery Store ",,"123456","shopper","19.1256221","72.8373452","9","1","0000-00-00","0000-00-00"
"21","grocery2@gmail.com",,"House Products ",,"123456","shopper","19.1124383","72.8414815","10","1","0000-00-00","0000-00-00"
"22","nursery@gmail.com",,"Sara Nursery ",,"123456","shopper","19.1161492","72.8398631","11","1","0000-00-00","0000-00-00"
"23","bookstall@gmail.com",,"Books Stall",,"123456","shopper","19.1248254","72.837714","11","1","0000-00-00","0000-00-00"
"24","perfume@gmail.com",,"Royal Perfumes",,"123456","shopper","19.1189274","72.8513822","11","1","0000-00-00","0000-00-00"
